09:35:31:965->INFO - c.v.v.cryptography.Decrypt          : Diretório de arquivos encriptados /home/msmaniotto/Imagens selecionado.
09:35:31:968->INFO - c.v.v.cryptography.Decrypt          : Diretório destino /home/msmaniotto/teste123/testeSave selecionado.
09:35:31:968->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-27 09-10-44.png selecionado para descriptografia.
09:35:32:300->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:32:301->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-27 09-10-44.png selecionado não possuí criptografia compatível.
09:35:32:301->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-26 10-33-50.png selecionado para descriptografia.
09:35:32:409->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:32:410->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-05-26 10-33-50.png selecionado não possuí criptografia compatível.
09:35:32:410->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-22-17.png selecionado para descriptografia.
09:35:32:519->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:32:519->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-22-17.png selecionado não possuí criptografia compatível.
09:35:32:520->INFO - c.v.v.cryptography.Decrypt          : Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-30-57.png selecionado para descriptografia.
09:35:32:626->ERROR- c.v.v.cryptography.Aes256           : [EXCEPTION] Erro para descriptografar: javax.crypto.IllegalBlockSizeException: Input length must be multiple of 16 when decrypting with padded cipher
09:35:32:627->ERROR- c.v.v.cryptography.Decrypt          : [ERROR] Arquivo /home/msmaniotto/Imagens/Captura de tela de 2022-06-23 11-30-57.png selecionado não possuí criptografia compatível.
